Target,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Admission grade,Tuition fees up to date,Curricular units 2nd sem (evaluations),Previous qualification (grade),Age at enrollment,Curricular units 1st sem (evaluations),Course,Father's occupation,Mother's occupation,GDP,Unemployment rate,Application mode,Father's qualification,Inflation rate,Mother's qualification,Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Scholarship holder,Application order,Debtor,Gender
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,127.3,1.0,0.0,122.0,20.0,0.0,8378.5,9.0,5.0,1.74,10.8,17.0,12.0,1.4,19.0,2.0,2.0,0,3.5,0,1.0
Graduate,6.0,13.66666667,6.0,14.0,142.5,0.0,6.0,160.0,19.0,6.0,9254.0,3.0,3.0,0.79,13.9,15.0,3.0,-0.3,1.0,6.0,6.0,0,1.0,0,1.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,124.8,0.0,0.0,122.0,19.0,0.0,9070.0,9.0,9.0,1.74,10.8,1.0,37.0,1.4,37.0,6.0,6.0,0,3.5,0,1.0
Graduate,5.0,12.4,6.0,13.42857143,119.6,1.0,10.0,122.0,20.0,8.0,9773.0,3.0,5.0,-3.12,9.4,17.0,37.0,-0.8,38.0,6.0,6.0,0,2.0,0,0.0
Graduate,6.0,13.0,5.0,12.33333333,141.5,1.0,6.0,102.5,34.0,9.0,8378.5,9.0,9.0,0.79,13.9,39.0,38.0,-0.3,37.0,6.0,6.0,0,1.0,0,0.0
Graduate,5.0,11.5,5.0,11.85714286,114.8,1.0,16.0,133.1,34.0,10.0,9991.0,7.0,9.0,-0.92,16.2,39.0,37.0,0.3,37.0,5.0,5.0,0,1.0,1,1.0
Graduate,8.0,14.345,7.0,13.3,128.4,1.0,8.0,142.0,18.0,9.0,9500.0,10.0,7.0,-4.06,15.5,1.0,38.0,2.8,19.0,8.0,7.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,113.1,0.0,5.0,119.0,22.0,5.0,9254.0,9.0,9.0,-4.06,15.5,18.0,37.0,2.8,37.0,5.0,5.0,0,3.5,0,1.0
Graduate,6.0,14.14285714,6.0,13.875,129.3,1.0,7.0,137.0,21.0,8.0,9238.0,9.0,9.0,-0.92,16.2,1.0,1.0,0.3,1.0,6.0,6.0,1,3.0,0,0.0
Dropout,2.0,13.5,5.0,11.4,123.0,0.0,14.0,138.0,18.0,9.0,9238.0,7.0,4.0,3.51,8.9,1.0,19.0,1.4,1.0,6.0,6.0,0,1.0,1,0.0
Graduate,5.0,14.2,6.0,12.33333333,130.6,1.0,7.0,139.0,18.0,6.0,9670.0,7.0,5.0,0.79,13.9,1.0,19.0,1.4,38.0,6.0,6.0,0,1.0,0,0.0
Graduate,7.0,13.21428571,7.0,13.21428571,119.3,1.0,8.0,136.0,18.0,8.0,9500.0,9.0,9.0,-1.7,12.7,1.0,38.0,3.7,19.0,8.0,8.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,130.2,1.0,0.0,133.0,19.0,6.0,9853.0,9.0,4.0,-1.7,11.1,1.0,37.0,3.7,19.0,6.0,6.0,0,2.0,0,0.0
Graduate,5.0,11.0,6.0,10.57142857,111.8,1.0,8.0,110.0,21.0,7.0,9254.0,7.0,4.0,3.51,8.9,53.0,1.0,1.4,1.0,6.0,6.0,1,1.0,0,0.0
Graduate,5.0,12.0,4.0,13.25,137.1,1.0,5.0,149.0,18.0,7.0,9085.0,5.0,5.0,1.74,10.8,1.0,37.0,1.4,38.0,5.0,5.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,5.0,13.2,120.7,1.0,7.0,127.0,20.0,6.0,9773.0,3.0,9.0,-4.06,15.5,1.0,37.0,2.8,19.0,6.0,6.0,0,1.0,0,0.0
Enrolled,2.0,11.0,1.0,12.0,137.4,1.0,14.0,137.0,18.0,10.0,9238.0,8.0,5.0,1.74,10.8,18.0,38.0,1.4,19.0,6.0,6.0,0,1.0,0,0.0
Graduate,8.0,14.545,7.0,13.30625,127.3,1.0,8.0,135.0,18.0,8.0,9500.0,4.0,5.0,-4.06,15.5,17.0,1.0,2.8,19.0,8.0,7.0,0,2.0,0,0.0
Graduate,4.0,12.2,4.0,12.5,136.3,1.0,8.0,137.0,20.0,8.0,9130.0,5.0,3.0,1.74,10.8,1.0,19.0,1.4,3.0,5.0,5.0,0,1.0,0,0.0
Enrolled,6.0,13.5,6.0,11.66666667,124.6,1.0,8.0,140.0,18.0,7.0,9853.0,7.0,7.0,-0.92,16.2,1.0,19.0,0.3,19.0,7.0,7.0,0,1.0,0,0.0
Graduate,0.0,6.8750000049999995,0.0,7.3999999999999995,120.3,1.0,0.0,122.0,21.0,0.0,8378.5,8.0,9.0,2.02,11.1,1.0,1.0,0.6,1.0,2.0,2.0,1,3.0,0,0.0
Enrolled,8.0,11.425,7.0,11.4375,121.8,1.0,9.0,127.0,20.0,14.0,9556.0,7.0,4.0,-1.7,12.7,18.0,38.0,3.7,1.0,8.0,7.0,0,3.5,0,0.0
Graduate,7.0,12.85714286,7.0,12.85714286,125.5,1.0,8.0,142.0,18.0,12.0,9500.0,1.0,1.0,-1.7,12.7,1.0,19.0,3.7,19.0,8.0,8.0,0,3.5,0,0.0
Graduate,6.0,12.28571429,6.0,13.375,114.9,1.0,7.0,125.0,19.0,8.0,9670.0,7.0,4.0,2.02,11.1,1.0,38.0,0.6,1.0,6.0,6.0,1,3.5,0,0.0
